Date	Open	High	Low	Close	Adj Close	Volume
3/2/2023	58.84	59.78	58.8	59.72	57.43	11758300
3/3/2023	59.55	59.68	59.21	59.44	57.16	13101800
3/6/2023	59.26	60.38	59.22	60.36	58.05	16282700
3/7/2023	60.49	60.57	59.75	60.01	57.71	13961200
3/8/2023	60.04	60.33	59.73	60.04	57.74	10851600
3/9/2023	60.54	60.54	59.28	59.46	57.18	13900900
3/10/2023	59.7	60.14	58.99	59.21	56.94	13745800
3/13/2023	59.29	60.87	59.25	59.81	57.52	21956000
3/14/2023	60	60.46	59.35	60.03	57.73	19496900
3/15/2023	59.43	60.48	59.24	60.43	58.12	21089900
3/16/2023	60.09	60.34	59.7	60.3	58.44	15658300
3/17/2023	60.31	60.35	59.64	60.02	58.17	27351200
3/20/2023	60.16	60.6	59.97	60.6	58.73	12904100
3/21/2023	60.57	60.75	59.88	60.32	58.46	13716500
3/22/2023	60.4	60.87	60.03	60.05	58.19	10494200
3/23/2023	60.09	60.39	59.72	59.92	58.07	15479000
3/24/2023	60.25	61.02	59.91	60.9	59.02	12975600
3/27/2023	61.14	61.48	60.95	61.35	59.45	12777400
3/28/2023	61.39	61.74	61.27	61.42	59.52	10925700
3/29/2023	61.72	61.95	61.59	61.86	59.95	9441000
3/30/2023	61.88	62.09	61.66	61.85	59.94	9870700
3/31/2023	62.06	62.25	61.87	62.03	60.11	14440900
4/3/2023	62.3	62.52	61.86	62.4	60.47	12300700
4/4/2023	62.39	62.74	62.08	62.21	60.29	11433400
4/5/2023	62.53	63.02	62.5	62.8	60.86	12789600
4/6/2023	62.86	63.04	62.38	62.84	60.9	9644200
4/10/2023	62.49	62.69	62.02	62.69	60.75	7952600
4/11/2023	62.65	62.71	62.4	62.58	60.65	9913000
4/12/2023	62.48	63.03	62.31	62.69	60.75	9593700
4/13/2023	62.76	63.16	62.48	63.15	61.2	9871400
4/14/2023	63.05	63.15	62.78	63.05	61.1	8946000
4/17/2023	63.32	63.53	63.14	63.46	61.5	9452400
4/18/2023	63.51	63.6	63.19	63.56	61.6	9035700
4/19/2023	63.73	63.83	63.43	63.68	61.71	9769500
4/20/2023	63.63	64	63.44	63.96	61.98	10706400
4/21/2023	64	64.27	63.8	64.05	62.07	12931100
4/24/2023	64.75	64.99	63.62	63.95	61.97	15532300
4/25/2023	64.17	64.17	63.63	63.85	61.88	12818900
4/26/2023	63.56	63.77	63.39	63.55	61.59	13179600
4/27/2023	63.53	63.76	63.11	63.68	61.71	13795800
4/28/2023	63.61	64.16	63.48	64.15	62.17	13686700
5/1/2023	64.15	64.69	64.06	64.3	62.31	9091500
5/2/2023	64.14	64.14	63.27	64.01	62.03	10948400
5/3/2023	64.02	64.18	63.58	63.65	61.68	11084600
5/4/2023	63.74	63.93	63.51	63.72	61.75	11938300
5/5/2023	63.64	64.21	63.63	64.02	62.04	9037300
5/8/2023	63.81	64.06	63.61	63.92	61.94	7240700
5/9/2023	63.64	63.75	63.28	63.39	61.43	9067700
5/10/2023	63.32	63.64	62.99	63.5	61.54	10134000
5/11/2023	63.58	63.93	63.01	63.86	61.89	9581500
5/12/2023	63.86	64.19	63.7	64.11	62.13	8739600
5/15/2023	64.22	64.25	63.71	63.94	61.96	8150000
5/16/2023	63.9	63.9	63.16	63.22	61.27	9129600
5/17/2023	63.4	63.42	62.73	63.15	61.2	11583000
5/18/2023	63.01	63.04	62.57	62.8	60.86	13595100
5/19/2023	63.04	63.1	62.61	62.83	60.89	14242100
5/22/2023	62.79	62.87	61.44	61.51	59.61	15055400
5/23/2023	61.51	61.67	61.17	61.4	59.5	13932700
5/24/2023	61.38	61.43	60.72	60.88	59	11090100
5/25/2023	60.47	60.73	60.15	60.41	58.54	14463600
5/26/2023	60.45	60.64	60.11	60.26	58.4	12570300
5/30/2023	60.09	60.2	59.52	59.78	57.93	15634200
5/31/2023	59.92	60.28	59.37	59.66	57.82	59432200
6/1/2023	59.94	60.17	59.77	60	58.15	13402700
6/2/2023	60.27	61.32	60.08	61.16	59.27	15256300
6/5/2023	61	61.44	60.55	60.75	58.87	12915600
6/6/2023	60.95	60.99	60.12	60.31	58.45	10943500
6/7/2023	60.01	60.36	59.82	60.22	58.36	16817900
6/8/2023	60.13	60.41	59.98	60.37	58.5	15585900
6/9/2023	60.27	60.67	60.17	60.47	58.6	12581500
6/12/2023	60.59	60.65	60.02	60.21	58.35	14208900
6/13/2023	60.21	60.67	60.04	60.45	58.58	13397800
6/14/2023	60.73	61.08	60.6	60.86	58.98	14099700
6/15/2023	60.61	61.3	60.34	61.23	59.79	15271400
6/16/2023	61.6	62.17	61.48	61.67	60.22	26735800
6/20/2023	61.59	61.96	61.24	61.26	59.82	13971800
